,player_name,goals,year
17, Steve Cook,4,2015/2016
18, Craig Dawson,4,2015/2016
19, Steven Fletcher,4,2015/2016
0, Ramiro Funes Mori,4,2015/2016
1, Eden Hazard,4,2015/2016
2, Wes Hoolahan,4,2015/2016
3, Laurent Koscielny,4,2015/2016
4, Adam Lallana,4,2015/2016
5, Jesse Lingard,4,2015/2016
6, Joselu,4,2015/2016
7, Kevin Mirallas,4,2015/2016
8, Steven Naismith,4,2015/2016
9, Matt Ritchie,4,2015/2016
10, Son Heung-Min,4,2015/2016
11, Andros Townsend,4,2015/2016
12, Enner Valencia,4,2015/2016
13, Patrick van Aanholt,4,2015/2016
14, Danny Welbeck,4,2015/2016
15, Robbie Brady,3,2015/2016
16, Joel Campbell,3,2015/2016
17, Nacer Chadli,3,2015/2016
18, Papiss Demba Cissé,3,2015/2016
19, Charlie Daniels,3,2015/2016
0, Mousa Dembélé,3,2015/2016
1, Eric Dier,3,2015/2016
2, Oscar,3,2015/2016
3, Craig Gardner,3,2015/2016
4, Dwight Gayle,3,2015/2016
5, Dan Gosling,3,2015/2016
6, Ander Herrera,3,2015/2016
7, Jonny Howson,3,2015/2016
8, Robert Huth,3,2015/2016
9, Cameron Jerome,3,2015/2016
10, Aleksandar Kolarov,3,2015/2016
11, Jeremain Lens,3,2015/2016
12, Russell Martin,3,2015/2016
13, James Morrison,3,2015/2016
14, Glenn Murray,3,2015/2016
15, Marc Pugh,3,2015/2016
16, Xherdan Shaqiri,3,2015/2016
17, Junior Stanislas,3,2015/2016
18, Virgil van Dijk,3,2015/2016
19, Duncan Watmore,3,2015/2016
0, Mauro Zárate,3,2015/2016
1, Almen Abdi,2,2015/2016
2, Ibrahim Afellay,2,2015/2016
3, Marc Albrighton,2,2015/2016
4, Joe Allen,2,2015/2016
5, César Azpilicueta,2,2015/2016
6, Leighton Baines,2,2015/2016
7, Gary Cahill,2,2015/2016
8, Tom Cleverley,2,2015/2016
9, Aaron Cresswell,2,2015/2016
10, José Fonte,2,2015/2016
11, Damien Delaney,2,2015/2016
12, Fabian Delph,2,2015/2016
13, Memphis Depay,2,2015/2016
14, Gerard Deulofeu,2,2015/2016
15, Daniel Drinkwater,2,2015/2016
16, Carles Gil,2,2015/2016
17, Jordan Henderson,2,2015/2016
18, Giannelli Imbula,2,2015/2016
19, Danny Ings,2,2015/2016
0, Branislav Ivanovic,2,2015/2016
1, Alex Iwobi,2,2015/2016
2, Daryl Janmaat,2,2015/2016
3, Carl Jenkinson,2,2015/2016
4, Adam Johnson,2,2015/2016
5, Wahbi Khazri,2,2015/2016
6, Ki Sung-yueng,2,2015/2016
7, Andy King,2,2015/2016
8, Vincent Kompany,2,2015/2016
9, Lamine Koné,2,2015/2016
10, Jamaal Lascelles,2,2015/2016
11, Fernandinho,2,2015/2016
12, Nemanja Matic,2,2015/2016
13, James McArthur,2,2015/2016
14, James McCarthy,2,2015/2016
15, James McClean,2,2015/2016
16, Wes Morgan,2,2015/2016
17, Samir Nasri,2,2015/2016
18, Alberto Paloschi,2,2015/2016
19, Sebastian Prödl,2,2015/2016
0, Jason Puncheon,2,2015/2016
1, Fernando,2,2015/2016
2, Wayne Routledge,2,2015/2016
3, Bakary Sako,2,2015/2016
4, Ramires,2,2015/2016
5, Stéphane Sessegnon,2,2015/2016
6, David Silva,2,2015/2016
7, Scott Sinclair,2,2015/2016
8, Adam Smith,2,2015/2016
9, Alexander Tettey,2,2015/2016
10, Bertrand Traoré,2,2015/2016
11, Joel Ward,2,2015/2016
12, James Ward-Prowse,2,2015/2016
13, Ben Watson,2,2015/2016
14, Ashley Westwood,2,2015/2016
15, Ashley Williams,2,2015/2016
16, Wilfried Zaha,2,2015/2016
17, Rolando Aarons,1,2015/2016
18, Charlie Adam,1,2015/2016
19, Emmanuel Adebayor,1,2015/2016
0, Gabriel Agbonlahor,1,2015/2016
1, Nathan Aké,1,2015/2016
2, Vurnon Anita,1,2015/2016
3, Harry Arter,1,2015/2016
4, Charlie Austin,1,2015/2016
5, Leandro Bacuna,1,2015/2016
6, Modou Barrow,1,2015/2016
7, Sebastien Bassong,1,2015/2016
8, Héctor Bellerín,1,2015/2016
9, Ryan Bertrand,1,2015/2016
10, Daley Blind,1,2015/2016
11, Emre Can,1,2015/2016
12, Tom Carroll,1,2015/2016
13, Craig Cathcart,1,2015/2016
14, Ciaran Clark,1,2015/2016
15, Nathaniel Clyne,1,2015/2016
16, Jack Colback,1,2015/2016
17, Seamus Coleman,1,2015/2016
18, Fabricio Coloccini,1,2015/2016
19, Jack Cork,1,2015/2016
0, Alexandre Pato,1,2015/2016
1, Matteo Darmian,1,2015/2016
2, Gabriel,1,2015/2016
3, Ritchie de Laet,1,2015/2016
4, Paul Dummett,1,2015/2016
5, Nathan Dyer,1,2015/2016
6, Tommy Elphick,1,2015/2016
7, Jonny Evans,1,2015/2016
8, Radamel Falcao,1,2015/2016
9, Marouane Fellaini,1,2015/2016
10, Federico Fernández,1,2015/2016
11, Darren Fletcher,1,2015/2016
12, Kieran Gibbs,1,2015/2016
13, Lewis Grabban,1,2015/2016
14, Max Gradel,1,2015/2016
15, Jack Grealish,1,2015/2016
16, Jordon Ibe,1,2015/2016
17, Adnan Januzaj,1,2015/2016
18, Matthew Jarvis,1,2015/2016
19, Nikica Jelavic,1,2015/2016
0, Billy Jones,1,2015/2016
1, N'Golo Kanté,1,2015/2016
2, Timm Klose,1,2015/2016
3, Rickie Lambert,1,2015/2016
4, Miguel Layún,1,2015/2016
5, Joe Ledley,1,2015/2016
6, Lee Chung-yong,1,2015/2016
7, Joleon Lescott,1,2015/2016
8, Ruben Loftus-Cheek,1,2015/2016
9, Yann M'Vila,1,2015/2016
10, Modibo Maiga,1,2015/2016
11, Cuco Martina,1,2015/2016
12, Ryan Mason,1,2015/2016
13, Gareth McAuley,1,2015/2016
14, Alberto Moreno,1,2015/2016
15, Victor Moses,1,2015/2016
16, Dame N'Doye,1,2015/2016
17, Kenedy,1,2015/2016
18, Jonas Olsson,1,2015/2016
19, Martin Olsson,1,2015/2016
0, Nicolás Otamendi,1,2015/2016
1, Alex Oxlade-Chamberlain,1,2015/2016
2, Winston Reid,1,2015/2016
3, Loïc Remy,1,2015/2016
4, Micah Richards,1,2015/2016
5, Jack Rodwell,1,2015/2016
6, Oriol Romeu,1,2015/2016
7, Danny Rose,1,2015/2016
8, Mamadou Sakho,1,2015/2016
9, Jeffrey Schlupp,1,2015/2016
10, Morgan Schneiderlin,1,2015/2016
11, Bastian Schweinsteiger,1,2015/2016
12, Jonjo Shelvey,1,2015/2016
13, Moussa Sissoko,1,2015/2016
14, Martin Skrtel,1,2015/2016
15, John Terry,1,2015/2016
16, Kolo Touré,1,2015/2016
17, Kieran Trippier,1,2015/2016
18, Kyle Walker,1,2015/2016
19, Victor Wanyama,1,2015/2016
0, Steven Whittaker,1,2015/2016
1, Maya Yoshida,1,2015/2016
2, Ashley Young,1,2015/2016
3, Kurt Zouma,1,2015/2016
0, Sergio Agüero,26,2014/2015
1, Harry Kane,21,2014/2015
2, Diego Costa,20,2014/2015
3, Charlie Austin,18,2014/2015
4, Alexis Sánchez,16,2014/2015
5, Saido Berahino,14,2014/2015
6, Olivier Giroud,14,2014/2015
7, Eden Hazard,14,2014/2015
8, Christian Benteke,13,2014/2015
9, Graziano Pellè,12,2014/2015
10, Wayne Rooney,12,2014/2015
11, David Silva,12,2014/2015
12, Wilfried Bony,11,2014/2015
13, Nacer Chadli,11,2014/2015
14, Papiss Demba Cissé,11,2014/2015
15, Mame Biram Diouf,11,2014/2015
16, Danny Ings,11,2014/2015
17, Leonardo Ulloa,11,2014/2015
18, Christian Eriksen,10,2014/2015
19, Romelu Lukaku,10,2014/2015
0, Sadio Mané,10,2014/2015
1, Diafra Sakho,10,2014/2015
2, Yaya Touré,10,2014/2015
3, Robin van Persie,10,2014/2015
4, Steven Gerrard,9,2014/2015
5, Juan Mata,9,2014/2015
6, Peter Crouch,8,2014/2015
7, Nikica Jelavic,8,2014/2015
8, Ki Sung-yueng,8,2014/2015
9, Jonathan Walters,8,2014/2015
10, Charlie Adam,7,2014/2015
11, Santiago Cazorla,7,2014/2015
12, Bafétimbi Gomis,7,2014/2015
13, Kevin Mirallas,7,2014/2015
14, Glenn Murray,7,2014/2015
15, Ayoze Pérez,7,2014/2015
16, Loïc Remy,7,2014/2015
17, Gylfi Sigurdsson,7,2014/2015
18, Raheem Sterling,7,2014/2015
19, Gabriel Agbonlahor,6,2014/2015
0, Oscar,6,2014/2015
1, Stewart Downing,6,2014/2015
2, Marouane Fellaini,6,2014/2015
3, Leroy Fer,6,2014/2015
4, Jordan Henderson,6,2014/2015
5, Ander Herrera,6,2014/2015
6, Frank Lampard,6,2014/2015
7, Steven Naismith,6,2014/2015
8, Jason Puncheon,6,2014/2015
9, Aaron Ramsey,6,2014/2015
10, Ashley Barnes,5,2014/2015
11, George Boyd,5,2014/2015
12, Esteban Cambiasso,5,2014/2015
13, Andy Carroll,5,2014/2015
14, Coutinho,5,2014/2015
15, Steven Fletcher,5,2014/2015
16, Dwight Gayle,5,2014/2015
17, Mile Jedinak,5,2014/2015
18, Stevan Jovetic,5,2014/2015
19, Adam Lallana,5,2014/2015
0, Shane Long,5,2014/2015
1, James Milner,5,2014/2015
2, Dame N'Doye,5,2014/2015
3, David Nugent,5,2014/2015
4, John Terry,5,2014/2015
5, Jamie Vardy,5,2014/2015
6, Theo Walcott,5,2014/2015
7, Connor Wickham,5,2014/2015
8, Yannick Bolasie,4,2014/2015
9, Fraizer Campbell,4,2014/2015
10, Jack Colback,4,2014/2015
11, Jermain Defoe,4,2014/2015
12, Mohamed Diamé,4,2014/2015
13, Didier Drogba,4,2014/2015
14, Edin Dzeko,4,2014/2015
15, Radamel Falcao,4,2014/2015
16, Jordi Gómez,4,2014/2015
17, Abel Hernández,4,2014/2015
18, Brown Ideye,4,2014/2015
19, Branislav Ivanovic,4,2014/2015
0, Phil Jagielka,4,2014/2015
1, Adam Johnson,4,2014/2015
2, Cheikhou Kouyaté,4,2014/2015
3, Bojan,4,2014/2015
4, Riyad Mahrez,4,2014/2015
5, Mesut Özil,4,2014/2015
6, Morgan Schneiderlin,4,2014/2015
7, Moussa Sissoko,4,2014/2015
8, Chris Smalling,4,2014/2015
9, Daniel Sturridge,4,2014/2015
10, Dusan Tadic,4,2014/2015
11, Enner Valencia,4,2014/2015
12, Danny Welbeck,4,2014/2015
13, Wilfried Zaha,4,2014/2015
14, Morgan Amalfitano,3,2014/2015
15, Victor Anichebe,3,2014/2015
16, Tom Cleverley,3,2014/2015
17, Seamus Coleman,3,2014/2015
18, Jack Cork,3,2014/2015
19, Ángel Di María,3,2014/2015
0, Nathan Dyer,3,2014/2015
1, Samuel Eto'o,3,2014/2015
2, Cesc Fàbregas,3,2014/2015
3, Craig Gardner,3,2014/2015
4, Laurent Koscielny,3,2014/2015
5, Sebastian Larsson,3,2014/2015
6, Fernandinho,3,2014/2015
7, Victor Moses,3,2014/2015
8, Steven N'Zonzi,3,2014/2015
9, Matt Phillips,3,2014/2015
10, Jack Rodwell,3,2014/2015
11, Danny Rose,3,2014/2015
12, Wayne Routledge,3,2014/2015
13, Jeffrey Schlupp,3,2014/2015
14, André Schürrle,3,2014/2015
15, Jonjo Shelvey,3,2014/2015
16, Eduardo Vargas,3,2014/2015
17, Victor Wanyama,3,2014/2015
18, Andreas Weimann,3,2014/2015
19, Bobby Zamora,3,2014/2015
0, Emmanuel Adebayor,2,2014/2015
1, Marc Albrighton,2,2014/2015
2, Sammy Ameobi,2,2014/2015
3, Scott Arfield,2,2014/2015
4, Leighton Baines,2,2014/2015
5, Ross Barkley,2,2014/2015
6, Héctor Bellerín,2,2014/2015
7, Ryan Bertrand,2,2014/2015
8, Daley Blind,2,2014/2015
9, Willian,2,2014/2015
10, Chris Brunt,2,2014/2015
11, Marouane Chamakh,2,2014/2015
12, James Chester,2,2014/2015
13, Nathaniel Clyne,2,2014/2015
14, Carlton Cole,2,2014/2015
15, Aaron Cresswell,2,2014/2015
16, Scott Dann,2,2014/2015
17, Craig Dawson,2,2014/2015
18, Eric Dier,2,2014/2015
19, Ahmed El Mohamady,2,2014/2015
0, Eljero Elia,2,2014/2015
1, Yoan Gouffran,2,2014/2015
2, Brede Hangeland,2,2014/2015
3, Andy King,2,2014/2015
4, Aleksandar Kolarov,2,2014/2015
5, Andrej Kramaric,2,2014/2015
6, Niko Kranjcar,2,2014/2015
7, Rickie Lambert,2,2014/2015
8, Erik Lamela,2,2014/2015
9, Joe Ledley,2,2014/2015
10, Aaron Lennon,2,2014/2015
11, Lazar Markovic,2,2014/2015
12, James McArthur,2,2014/2015
13, James McCarthy,2,2014/2015
14, Ben Mee,2,2014/2015
15, Alberto Moreno,2,2014/2015
16, Wes Morgan,2,2014/2015
17, James Morrison,2,2014/2015
18, Samir Nasri,2,2014/2015
19, Mark Noble,2,2014/2015
0, Leon Osman,2,2014/2015
1, Fernando,2,2014/2015
2, Tomas Rosicky,2,2014/2015
3, Ramires,2,2014/2015
4, Ryan Shawcross,2,2014/2015
5, Andros Townsend,2,2014/2015
6, Jack Wilshere,2,2014/2015
7, Ashley Young,2,2014/2015
8, Mauro Zárate,2,2014/2015
9, Rolando Aarons,1,2014/2015
10, Toby Alderweireld,1,2014/2015
11, Joe Allen,1,2014/2015
12, Sone Aluko,1,2014/2015
13, Marko Arnautovic,1,2014/2015
14, Mario Balotelli,1,2014/2015
15, Joey Barton,1,2014/2015
16, Fabio Borini,1,2014/2015
17, Rémy Cabella,1,2014/2015
18, Gary Cahill,1,2014/2015
19, Emre Can,1,2014/2015
0, Michael Carrick,1,2014/2015
1, Nélson Oliveira,1,2014/2015
2, Lee Cattermole,1,2014/2015
3, Steven Caulker,1,2014/2015
4, Calum Chambers,1,2014/2015
5, Ciaran Clark,1,2014/2015
6, Gaël Clichy,1,2014/2015
7, Joe Cole,1,2014/2015
8, Fabricio Coloccini,1,2014/2015
9, Michael Dawson,1,2014/2015
10, Siem de Jong,1,2014/2015
11, Mathieu Debuchy,1,2014/2015
12, Mousa Dembélé,1,2014/2015
13, Martín Demichelis,1,2014/2015
14, Graham Dorrans,1,2014/2015
15, Mathieu Flamini,1,2014/2015
16, Darren Fletcher,1,2014/2015
17, Silvestre Varela,1,2014/2015
18, Danny Graham,1,2014/2015
19, Sandro,1,2014/2015
0, Jonás Gutiérrez,1,2014/2015
1, Clint Hill,1,2014/2015
2, Robert Huth,1,2014/2015
3, Alan Hutton,1,2014/2015
4, Daryl Janmaat,1,2014/2015
5, Glen Johnson,1,2014/2015
6, Michael Kightly,1,2014/2015
7, Paul Konchesky,1,2014/2015
8, Arouna Koné,1,2014/2015
9, Joleon Lescott,1,2014/2015
10, Jake Livermore,1,2014/2015
11, Ryan Mason,1,2014/2015
12, Nemanja Matic,1,2014/2015
13, Gareth McAuley,1,2014/2015
14, Aiden McGeady,1,2014/2015
15, Paul McShane,1,2014/2015
16, David Meyler,1,2014/2015
17, Jefferson Montero,1,2014/2015
18, Kevin Nolan,1,2014/2015
19, Gabriel Obertan,1,2014/2015
0, Jores Okore,1,2014/2015
1, Jonas Olsson,1,2014/2015
2, Alex Oxlade-Chamberlain,1,2014/2015
3, Stephen Quinn,1,2014/2015
4, Gastón Ramírez,1,2014/2015
5, Winston Reid,1,2014/2015
6, Emmanuel Rivière,1,2014/2015
7, Carlos Sánchez,1,2014/2015
8, Stéphane Sessegnon,1,2014/2015
9, Scott Sinclair,1,2014/2015
10, Martin Skrtel,1,2014/2015
11, Roberto Soldado,1,2014/2015
12, John Stones,1,2014/2015
13, Steven Taylor,1,2014/2015
14, James Tomkins,1,2014/2015
15, Ross Wallace,1,2014/2015
16, Joel Ward,1,2014/2015
17, James Ward-Prowse,1,2014/2015
18, Marcin Wasilewski,1,2014/2015
19, Mike Williamson,1,2014/2015
0, James Wilson,1,2014/2015
1, Chris Wood,1,2014/2015
2, Maya Yoshida,1,2014/2015
3, Pablo Zabaleta,1,2014/2015
0, Luis Suárez,31,2013/2014
1, Daniel Sturridge,21,2013/2014
2, Yaya Touré,20,2013/2014
3, Sergio Agüero,17,2013/2014
4, Wayne Rooney,17,2013/2014
5, Wilfried Bony,16,2013/2014
6, Edin Dzeko,16,2013/2014
7, Olivier Giroud,16,2013/2014
8, Romelu Lukaku,15,2013/2014
9, Jay Rodriguez,15,2013/2014
10, Eden Hazard,14,2013/2014
11, Loïc Remy,14,2013/2014
12, Steven Gerrard,13,2013/2014
13, Rickie Lambert,13,2013/2014
14, Robin van Persie,12,2013/2014
15, Emmanuel Adebayor,11,2013/2014
16, Christian Benteke,10,2013/2014
17, Aaron Ramsey,10,2013/2014
18, Samuel Eto'o,9,2013/2014
19, Adam Lallana,9,2013/2014
0, Álvaro Negredo,9,2013/2014
1, Raheem Sterling,9,2013/2014
2, Danny Welbeck,9,2013/2014
3, Peter Crouch,8,2013/2014
4, Oscar,8,2013/2014
5, Adam Johnson,8,2013/2014
6, Kevin Mirallas,8,2013/2014
7, Lukas Podolski,8,2013/2014
8, André Schürrle,8,2013/2014
9, Charlie Adam,7,2013/2014
10, Fabio Borini,7,2013/2014
11, Yohan Cabaye,7,2013/2014
12, Christian Eriksen,7,2013/2014
13, Dwight Gayle,7,2013/2014
14, Shane Long,7,2013/2014
15, Jordon Mutch,7,2013/2014
16, Samir Nasri,7,2013/2014
17, Kevin Nolan,7,2013/2014
18, Jason Puncheon,7,2013/2014
19, Steve Sidwell,7,2013/2014
0, David Silva,7,2013/2014
1, Martin Skrtel,7,2013/2014
2, Ross Barkley,6,2013/2014
3, Paulinho,6,2013/2014
4, Fraizer Campbell,6,2013/2014
5, Carlton Cole,6,2013/2014
6, Seamus Coleman,6,2013/2014
7, Nathan Dyer,6,2013/2014
8, Yoan Gouffran,6,2013/2014
9, Gary Hooper,6,2013/2014
10, Frank Lampard,6,2013/2014
11, Juan Mata,6,2013/2014
12, Peter Odemwingie,6,2013/2014
13, Jonjo Shelvey,6,2013/2014
14, Robert Snodgrass,6,2013/2014
15, Roberto Soldado,6,2013/2014
16, Demba Ba,5,2013/2014
17, Leandro Bacuna,5,2013/2014
18, Leighton Baines,5,2013/2014
19, Saido Berahino,5,2013/2014
0, Steven Caulker,5,2013/2014
1, Marouane Chamakh,5,2013/2014
2, Coutinho,5,2013/2014
3, Ashkan Dejagah,5,2013/2014
4, Fernandinho,5,2013/2014
5, Steven Naismith,5,2013/2014
6, Mesut Özil,5,2013/2014
7, Stéphane Sessegnon,5,2013/2014
8, Gylfi Sigurdsson,5,2013/2014
9, Fernando Torres,5,2013/2014
10, Theo Walcott,5,2013/2014
11, Jonathan Walters,5,2013/2014
12, Andreas Weimann,5,2013/2014
13, Connor Wickham,5,2013/2014
14, Gabriel Agbonlahor,4,2013/2014
15, Morgan Amalfitano,4,2013/2014
16, Marko Arnautovic,4,2013/2014
17, Oussama Assaidi,4,2013/2014
18, Dimitar Berbatov,4,2013/2014
19, Willian,4,2013/2014
0, Santiago Cazorla,4,2013/2014
1, Jonathan de Guzmán,4,2013/2014
2, Mohamed Diamé,4,2013/2014
3, Emanuele Giaccherini,4,2013/2014
4, Jordan Henderson,4,2013/2014
5, Chicharito,4,2013/2014
6, Adnan Januzaj,4,2013/2014
7, Nikica Jelavic,4,2013/2014
8, Vincent Kompany,4,2013/2014
9, Libor Kozák,4,2013/2014
10, Jesús Navas,4,2013/2014
11, Kieran Richardson,4,2013/2014
12, Victor Anichebe,3,2013/2014
13, Gareth Barry,3,2013/2014
14, Hatem Ben Arfa,3,2013/2014
15, Darren Bent,3,2013/2014
16, Robbie Brady,3,2013/2014
17, Chris Brunt,3,2013/2014
18, Jack Colback,3,2013/2014
19, Joe Cole,3,2013/2014
0, José Fonte,3,2013/2014
1, Fabian Delph,3,2013/2014
2, Gerard Deulofeu,3,2013/2014
3, Leroy Fer,3,2013/2014
4, Steven Fletcher,3,2013/2014
5, Tom Huddlestone,3,2013/2014
6, Branislav Ivanovic,3,2013/2014
7, Bradley Johnson,3,2013/2014
8, Stevan Jovetic,3,2013/2014
9, Harry Kane,3,2013/2014
10, Pajtim Kasami,3,2013/2014
11, Ki Sung-yueng,3,2013/2014
12, Jake Livermore,3,2013/2014
13, Ravel Morrison,3,2013/2014
14, Mark Noble,3,2013/2014
15, Leon Osman,3,2013/2014
16, Pablo Daniel Osvaldo,3,2013/2014
17, Moussa Sissoko,3,2013/2014
18, Matej Vydra,3,2013/2014
19, Ashley Westwood,3,2013/2014
0, Peter Whittingham,3,2013/2014
1, Jack Wilshere,3,2013/2014
2, Daniel Agger,2,2013/2014
3, Shola Ameobi,2,2013/2014
4, Nicolas Anelka,2,2013/2014
5, Mikel Arteta,2,2013/2014
6, Phil Bardsley,2,2013/2014
7, Nicklas Bendtner,2,2013/2014
8, Thievy,2,2013/2014
9, George Boyd,2,2013/2014
10, Geoff Cameron,2,2013/2014
11, Andy Carroll,2,2013/2014
12, Papiss Demba Cissé,2,2013/2014
13, Ben Davies,2,2013/2014
14, Curtis Davies,2,2013/2014
15, Steven Davis,2,2013/2014
16, Martín Demichelis,2,2013/2014
17, Graham Dorrans,2,2013/2014
18, Karim El Ahmadi,2,2013/2014
19, Ahmed El Mohamady,2,2013/2014
0, Mathieu Flamini,2,2013/2014
1, Chico Flores,2,2013/2014
2, Matty Fryatt,2,2013/2014
3, Craig Gardner,2,2013/2014
4, Pablo Hernández,2,2013/2014
5, Lewis Holtby,2,2013/2014
6, Jonny Howson,2,2013/2014
7, Stephen Ireland,2,2013/2014
8, Matthew Jarvis,2,2013/2014
9, Cameron Jerome,2,2013/2014
10, Robert Koren,2,2013/2014
11, Laurent Koscielny,2,2013/2014
12, Roland Lamah,2,2013/2014
13, Joe Ledley,2,2013/2014
14, Dejan Lovren,2,2013/2014
15, Gareth McAuley,2,2013/2014
16, Per Mertesacker,2,2013/2014
17, David Meyler,2,2013/2014
18, Youssouf Mulumbu,2,2013/2014
19, Steven N'Zonzi,2,2013/2014
0, Bryan Oviedo,2,2013/2014
1, Alex Oxlade-Chamberlain,2,2013/2014
2, Scott Parker,2,2013/2014
3, Michu,2,2013/2014
4, Hugo Rodallega,2,2013/2014
5, Tomas Rosicky,2,2013/2014
6, Wayne Routledge,2,2013/2014
7, Yannick Sagbo,2,2013/2014
8, Mohamed Salah,2,2013/2014
9, Morgan Schneiderlin,2,2013/2014
10, John Terry,2,2013/2014
11, Juan Cala,2,2013/2014
12, Antonio Valencia,2,2013/2014
13, Ricardo Vaz Te,2,2013/2014
14, James Wilson,2,2013/2014
15, Ashley Young,2,2013/2014
16, Joe Allen,1,2013/2014
17, Jozy Altidore,1,2013/2014
18, Sone Aluko,1,2013/2014
19, Fernando Amorebieta,1,2013/2014
0, Vurnon Anita,1,2013/2014
1, Barry Bannan,1,2013/2014
2, Asmir Begovic,1,2013/2014
3, Craig Bellamy,1,2013/2014
4, Ryan Bennett,1,2013/2014
5, Gary Cahill,1,2013/2014
6, Etienne Capoue,1,2013/2014
7, Michael Carrick,1,2013/2014
8, Lee Cattermole,1,2013/2014
9, Nacer Chadli,1,2013/2014
10, James Chester,1,2013/2014
11, Vlad Chiriches,1,2013/2014
12, Tom Cleverley,1,2013/2014
13, James Collins,1,2013/2014
14, Scott Dann,1,2013/2014
15, Chris David,1,2013/2014
16, Mathieu Debuchy,1,2013/2014
17, Jermain Defoe,1,2013/2014
18, Damien Delaney,1,2013/2014
19, Mousa Dembélé,1,2013/2014
0, Guy Demel,1,2013/2014
1, Stewart Downing,1,2013/2014
2, Paul Dummett,1,2013/2014
3, Johan Elmander,1,2013/2014
4, Marvin Emnes,1,2013/2014
5, Patrice Evra,1,2013/2014
6, Jon Flanagan,1,2013/2014
7, Danny Gabbidon,1,2013/2014
