,player_name,goals,year
12, Zoltán Gera,2,2008/2009
13, Ryan Giggs,2,2008/2009
14, Dan Gosling,2,2008/2009
15, Jonathan Greening,2,2008/2009
16, Danny Guthrie,2,2008/2009
17, Hermann Hreidarsson,2,2008/2009
18, Grant Leadbitter,2,2008/2009
19, Federico Macheda,2,2008/2009
0, Bernard Mendy,2,2008/2009
1, David N'Gog,2,2008/2009
2, Charles N'Zogbia,2,2008/2009
3, Seyi Olofinjana,2,2008/2009
4, Jonas Olsson,2,2008/2009
5, André Ooijer,2,2008/2009
6, Park Ji-Sung,2,2008/2009
7, Steven Pienaar,2,2008/2009
8, Christopher Samba,2,2008/2009
9, Paul Scholes,2,2008/2009
10, Mikaël Silvestre,2,2008/2009
11, Junior Stanislas,2,2008/2009
12, Grétar Steinsson,2,2008/2009
13, Ryan Taylor,2,2008/2009
14, Theo Walcott,2,2008/2009
15, Ben Watson,2,2008/2009
16, Bobby Zamora,2,2008/2009
17, Daniel Agger,1,2008/2009
18, Nani,1,2008/2009
19, Victor Anichebe,1,2008/2009
0, Álvaro Arbeloa,1,2008/2009
1, Ian Ashbee,1,2008/2009
2, Leighton Baines,1,2008/2009
3, Michael Ballack,1,2008/2009
4, Nick Barmby,1,2008/2009
5, Joey Barton,1,2008/2009
6, Chris Basham,1,2008/2009
7, Matthew Bates,1,2008/2009
8, Craig Beattie,1,2008/2009
9, Valon Behrami,1,2008/2009
10, David Bentley,1,2008/2009
11, Valeri Bojinov,1,2008/2009
12, Emmerson Boyce,1,2008/2009
13, Titus Bramble,1,2008/2009
14, Wes Brown,1,2008/2009
15, Fraizer Campbell,1,2008/2009
16, Lee Cattermole,1,2008/2009
17, Gaël Clichy,1,2008/2009
18, Tamir Cohen,1,2008/2009
19, Ashley Cole,1,2008/2009
0, Danny Collins,1,2008/2009
1, Vedran Corluka,1,2008/2009
2, Calum Davenport,1,2008/2009
3, Curtis Davies,1,2008/2009
4, Sean Davis,1,2008/2009
5, Andy Dawson,1,2008/2009
6, Michael Dawson,1,2008/2009
7, El Hadji Diouf,1,2008/2009
8, Andrea Dossena,1,2008/2009
9, David Dunn,1,2008/2009
10, Richard Dunne,1,2008/2009
11, David Edgar,1,2008/2009
12, Brett Emerton,1,2008/2009
13, Michael Essien,1,2008/2009
14, Dickson Etuhu,1,2008/2009
15, Ched Evans,1,2008/2009
16, Gelson Fernandes,1,2008/2009
17, Maynor Figueroa,1,2008/2009
18, Caleb Folan,1,2008/2009
19, Richard Garcia,1,2008/2009
0, Javier Garrido,1,2008/2009
1, Darron Gibson,1,2008/2009
2, Brede Hangeland,1,2008/2009
3, David Healy,1,2008/2009
4, Danny Higginbotham,1,2008/2009
5, Sami Hyypiä,1,2008/2009
6, Xisco,1,2008/2009
7, Younes Kaboul,1,2008/2009
8, Kanu,1,2008/2009
9, Olivier Kapo,1,2008/2009
10, Ledley King,1,2008/2009
11, Zat Knight,1,2008/2009
12, Vincent Kompany,1,2008/2009
13, Paul Konchesky,1,2008/2009
14, Robert Koren,1,2008/2009
15, Radoslav Kovac,1,2008/2009
16, Martin Laursen,1,2008/2009
17, Lucas Leiva,1,2008/2009
18, Steed Malbranque,1,2008/2009
19, Paul McShane,1,2008/2009
0, Juan Carlos Menseguéz,1,2008/2009
1, Luke Moore,1,2008/2009
2, Hayden Mullins,1,2008/2009
3, Benjani,1,2008/2009
4, Lucas Neill,1,2008/2009
5, Ryan Nelsen,1,2008/2009
6, Andy O'Brien,1,2008/2009
7, Jamie O'Hara,1,2008/2009
8, Nedum Onuoha,1,2008/2009
9, Scott Parker,1,2008/2009
10, Morten Gamst Pedersen,1,2008/2009
11, Rafael,1,2008/2009
12, Stiliyan Petrov,1,2008/2009
13, Emanuel Pogatetz,1,2008/2009
14, Sébastien Puygrenier,1,2008/2009
15, Andy Reid,1,2008/2009
16, Nigel Reo-Coker,1,2008/2009
17, Micah Richards,1,2008/2009
18, Seol Ki-Hyeon,1,2008/2009
19, Ricardo Carvalho,1,2008/2009
0, Jay Simpson,1,2008/2009
1, Alexandre Song,1,2008/2009
2, John Terry,1,2008/2009
3, James Tomkins,1,2008/2009
4, Kolo Touré,1,2008/2009
5, Armand Traore,1,2008/2009
6, Kerimoglou Tugay,1,2008/2009
7, John Utaka,1,2008/2009
8, Carlos Vela,1,2008/2009
9, Danny Welbeck,1,2008/2009
10, David Wheater,1,2008/2009
11, Glenn Whelan,1,2008/2009
12, Dean Windass,1,2008/2009
13, Jonathan Woodgate,1,2008/2009
14, Joseph Yobo,1,2008/2009
15, Luke Young,1,2008/2009
16, Pablo Zabaleta,1,2008/2009
17, Kamil Zayatte,1,2008/2009
0, Cristiano Ronaldo,31,2007/2008
1, Emmanuel Adebayor,24,2007/2008
2, Fernando Torres,24,2007/2008
3, Roque Santa Cruz,19,2007/2008
4, Yakubu,15,2007/2008
5, Dimitar Berbatov,15,2007/2008
6, Robbie Keane,15,2007/2008
7, Benjani,15,2007/2008
8, Carlos Tevez,14,2007/2008
9, John Carew,13,2007/2008
10, Jermain Defoe,12,2007/2008
11, Wayne Rooney,12,2007/2008
12, Gabriel Agbonlahor,11,2007/2008
13, Nicolas Anelka,11,2007/2008
14, Steven Gerrard,11,2007/2008
15, Michael Owen,11,2007/2008
16, Dean Ashton,10,2007/2008
17, Dave Kitson,10,2007/2008
18, Frank Lampard,10,2007/2008
19, Gareth Barry,9,2007/2008
0, Stewart Downing,9,2007/2008
1, Mikael Forssell,9,2007/2008
2, Obafemi Martins,9,2007/2008
3, Ashley Young,9,2007/2008
4, Elano,8,2007/2008
5, Didier Drogba,8,2007/2008
6, Joleon Lescott,8,2007/2008
7, Benni McCarthy,8,2007/2008
8, Tuncay Sanli,8,2007/2008
9, Michael Ballack,7,2007/2008
10, Marcus Bent,7,2007/2008
11, Tim Cahill,7,2007/2008
12, Joe Cole,7,2007/2008
13, Cesc Fàbregas,7,2007/2008
14, Cameron Jerome,7,2007/2008
15, Kenwyne Jones,7,2007/2008
16, Salomon Kalou,7,2007/2008
17, Robin van Persie,7,2007/2008
18, Mark Viduka,7,2007/2008
19, Afonso Alves,6,2007/2008
0, Darren Bent,6,2007/2008
1, David Bentley,6,2007/2008
2, Michael Chopra,6,2007/2008
3, Clint Dempsey,6,2007/2008
4, Kevin Doyle,6,2007/2008
5, Michael Essien,6,2007/2008
6, James Harper,6,2007/2008
7, Andrew Johnson,6,2007/2008
8, Sebastian Larsson,6,2007/2008
9, Martin Laursen,6,2007/2008
10, James McFadden,6,2007/2008
11, Tomas Rosicky,6,2007/2008
12, Darius Vassell,6,2007/2008
13, Jérémie Aliadière,5,2007/2008
14, Nicklas Bendtner,5,2007/2008
15, Peter Crouch,5,2007/2008
16, Simon Davies,5,2007/2008
17, Marlon Harewood,5,2007/2008
18, Stephen Hunt,5,2007/2008
19, Diomansy Kamara,5,2007/2008
0, Olivier Kapo,5,2007/2008
1, Danny Murphy,5,2007/2008
2, Kevin Nolan,5,2007/2008
3, Martin Petrov,5,2007/2008
4, Louis Saha,5,2007/2008
5, Andriy Shevchenko,5,2007/2008
6, John Utaka,5,2007/2008
7, Andrey Voronin,5,2007/2008
8, Eduardo da Silva,4,2007/2008
9, Ryan Babel,4,2007/2008
10, Yossi Benayoun,4,2007/2008
11, Rolando Bianchi,4,2007/2008
12, Lee Bowyer,4,2007/2008
13, Carlton Cole,4,2007/2008
14, El Hadji Diouf,4,2007/2008
15, William Gallas,4,2007/2008
16, David Healy,4,2007/2008
17, Emile Heskey,4,2007/2008
18, Stephen Ireland,4,2007/2008
19, Jermaine Jenas,4,2007/2008
0, Kanu,4,2007/2008
1, Niko Kranjcar,4,2007/2008
2, Steed Malbranque,4,2007/2008
3, Shaun Maloney,4,2007/2008
4, Brian McBride,4,2007/2008
5, Kenny Miller,4,2007/2008
6, Sulley Muntari,4,2007/2008
7, Leon Osman,4,2007/2008
8, Morten Gamst Pedersen,4,2007/2008
9, Paul Scharner,4,2007/2008
10, Antoine Sibierski,4,2007/2008
11, Nolberto Solano,4,2007/2008
12, Matthew Taylor,4,2007/2008
13, Theo Walcott,4,2007/2008
14, Mauro Zárate,4,2007/2008
15, Nani,3,2007/2008
16, André Bikey,3,2007/2008
17, Nicky Butt,3,2007/2008
18, Kevin Davies,3,2007/2008
19, Geovanni,3,2007/2008
0, Matt Derbyshire,3,2007/2008
1, Matthew Etherington,3,2007/2008
2, Mathieu Flamini,3,2007/2008
3, Craig Gardner,3,2007/2008
4, Ryan Giggs,3,2007/2008
5, Danny Higginbotham,3,2007/2008
6, Hermann Hreidarsson,3,2007/2008
7, Tom Huddlestone,3,2007/2008
8, Younes Kaboul,3,2007/2008
9, Dirk Kuyt,3,2007/2008
10, Denny Landzaat,3,2007/2008
11, Shane Long,3,2007/2008
12, Gary McSheffrey,3,2007/2008
13, Daryl Murphy,3,2007/2008
14, Charles N'Zogbia,3,2007/2008
15, Mark Noble,3,2007/2008
16, Matt Oakley,3,2007/2008
17, Kieran Richardson,3,2007/2008
18, Jason Roberts,3,2007/2008
19, Ryan Taylor,3,2007/2008
0, Antonio Valencia,3,2007/2008
1, Emanuel Villa,3,2007/2008
2, David Wheater,3,2007/2008
3, Xabi Alonso,2,2007/2008
4, Julio Arca,2,2007/2008
5, Gareth Bale,2,2007/2008
6, Craig Bellamy,2,2007/2008
7, Titus Bramble,2,2007/2008
8, Jimmy Bullard,2,2007/2008
9, Michael Carrick,2,2007/2008
10, Pascal Chimbonda,2,2007/2008
11, Alex,2,2007/2008
12, Rio Ferdinand,2,2007/2008
13, Anton Ferdinand,2,2007/2008
14, Gelson Fernandes,2,2007/2008
15, Stelios Giannakopoulos,2,2007/2008
16, Owen Hargreaves,2,2007/2008
17, Juliano Belletti,2,2007/2008
18, Heidar Helguson,2,2007/2008
19, Alyaksandr Hleb,2,2007/2008
0, Ivar Ingimarsson,2,2007/2008
1, Michael Johnson,2,2007/2008
2, Grant Leadbitter,2,2007/2008
3, Aaron Lennon,2,2007/2008
4, Fredrik Ljungberg,2,2007/2008
5, Florent Malouda,2,2007/2008
6, Jay McEveley,2,2007/2008
7, Olof Mellberg,2,2007/2008
8, Mido,2,2007/2008
9, James Milner,2,2007/2008
10, Emile Mpenza,2,2007/2008
11, Fabrice Muamba,2,2007/2008
12, Phil Neville,2,2007/2008
13, Erik Nevland,2,2007/2008
14, Garry O'Connor,2,2007/2008
15, Jermaine Pennant,2,2007/2008
16, Steven Pienaar,2,2007/2008
17, Claudio Pizarro,2,2007/2008
18, Christopher Samba,2,2007/2008
19, Philippe Senderos,2,2007/2008
0, Nicky Shorey,2,2007/2008
1, Kolo Touré,2,2007/2008
2, Kerimoglou Tugay,2,2007/2008
3, Ross Wallace,2,2007/2008
4, Shaun Wright-Phillips,2,2007/2008
5, Abou Diaby,1,2007/2008
6, Victor Anichebe,1,2007/2008
7, Mikel Arteta,1,2007/2008
8, Fábio Aurélio,1,2007/2008
9, Giles Barnes,1,2007/2008
10, Joey Barton,1,2007/2008
11, Emre,1,2007/2008
12, Habib Beye,1,2007/2008
13, George Boateng,1,2007/2008
14, Carlos Bocanegra,1,2007/2008
15, Hameur Bouazza,1,2007/2008
16, Wilfred Bouma,1,2007/2008
17, Daniel Braaten,1,2007/2008
18, Wes Brown,1,2007/2008
19, Claudio Caçapa,1,2007/2008
0, Sol Campbell,1,2007/2008
1, Ivan Campo,1,2007/2008
2, Lee Carsley,1,2007/2008
3, Lee Cattermole,1,2007/2008
4, Kalifa Cissé,1,2007/2008
5, Tamir Cohen,1,2007/2008
6, Ashley Cole,1,2007/2008
7, Danny Collins,1,2007/2008
8, Gilberto Silva,1,2007/2008
9, Gilberto,1,2007/2008
10, Curtis Davies,1,2007/2008
11, Michael Dawson,1,2007/2008
12, Lass Diarra,1,2007/2008
13, David Dunn,1,2007/2008
14, Robert Earnshaw,1,2007/2008
15, Brett Emerton,1,2007/2008
16, Dickson Etuhu,1,2007/2008
17, Kelvin Etuhu,1,2007/2008
18, Abdoulaye Faye,1,2007/2008
19, Anthony Gardner,1,2007/2008
0, Steve Howard,1,2007/2008
1, Ben Hutchinson,1,2007/2008
2, Robert Huth,1,2007/2008
3, Sami Hyypiä,1,2007/2008
4, Phil Jagielka,1,2007/2008
5, Stern John,1,2007/2008
6, Adam Johnson,1,2007/2008
7, Glen Johnson,1,2007/2008
8, David Jones,1,2007/2008
9, Kevin Kilbane,1,2007/2008
10, Marlon King,1,2007/2008
11, Zat Knight,1,2007/2008
12, Jason Koumas,1,2007/2008
13, Leroy Lita,1,2007/2008
14, Javier Mascherano,1,2007/2008
15, Marek Matejovsky,1,2007/2008
16, Gavin McCann,1,2007/2008
17, George McCartney,1,2007/2008
18, Tyrone Mears,1,2007/2008
19, Liam Miller,1,2007/2008
0, Luke Moore,1,2007/2008
1, David Murphy,1,2007/2008
2, Geremi,1,2007/2008
3, Lewin Nyatanga,1,2007/2008
4, Jamie O'Hara,1,2007/2008
5, Nedum Onuoha,1,2007/2008
6, Noé Pamarot,1,2007/2008
7, Park Ji-Sung,1,2007/2008
8, Scott Parker,1,2007/2008
9, Stiliyan Petrov,1,2007/2008
10, Rade Prica,1,2007/2008
11, Andy Reid,1,2007/2008
12, Liam Ridgewell,1,2007/2008
13, Chris Riggott,1,2007/2008
14, Fábio Rochemback,1,2007/2008
15, Bacary Sagna,1,2007/2008
16, Paul Scholes,1,2007/2008
17, Freddie Sears,1,2007/2008
18, Ricardo Carvalho,1,2007/2008
19, Mohamed Sissoko,1,2007/2008
0, Gary Speed,1,2007/2008
1, Anthony Stokes,1,2007/2008
2, Alan Stubbs,1,2007/2008
3, Daniel Sturridge,1,2007/2008
4, Steven Taylor,1,2007/2008
5, John Terry,1,2007/2008
6, Andrew Todd,1,2007/2008
7, Matt Upson,1,2007/2008
8, James Vaughan,1,2007/2008
9, Nemanja Vidic,1,2007/2008
10, Stephen Warnock,1,2007/2008
11, Dean Whitehead,1,2007/2008
12, Jonathan Woodgate,1,2007/2008
13, Joseph Yobo,1,2007/2008
14, Dwight Yorke,1,2007/2008
15, Luke Young,1,2007/2008
16, Bobby Zamora,1,2007/2008
0, Didier Drogba,20,2006/2007
1, Benni McCarthy,18,2006/2007
2, Cristiano Ronaldo,17,2006/2007
3, Wayne Rooney,14,2006/2007
4, Mark Viduka,14,2006/2007
5, Darren Bent,13,2006/2007
6, Kevin Doyle,13,2006/2007
7, Yakubu,12,2006/2007
8, Dimitar Berbatov,12,2006/2007
9, Dirk Kuyt,12,2006/2007
10, Nicolas Anelka,11,2006/2007
11, Andrew Johnson,11,2006/2007
12, Robbie Keane,11,2006/2007
13, Frank Lampard,11,2006/2007
14, Obafemi Martins,11,2006/2007
15, Robin van Persie,11,2006/2007
16, Bobby Zamora,11,2006/2007
17, Gilberto Silva,10,2006/2007
18, Jermain Defoe,10,2006/2007
19, Thierry Henry,10,2006/2007
0, Kanu,10,2006/2007
1, Gabriel Agbonlahor,9,2006/2007
2, Mikel Arteta,9,2006/2007
3, Peter Crouch,9,2006/2007
4, Brian McBride,9,2006/2007
5, Emmanuel Adebayor,8,2006/2007
6, Gareth Barry,8,2006/2007
7, Kevin Davies,8,2006/2007
8, Emile Heskey,8,2006/2007
9, Robert Hulse,8,2006/2007
10, Louis Saha,8,2006/2007
11, Gary Speed,8,2006/2007
12, Matthew Taylor,8,2006/2007
13, Craig Bellamy,7,2006/2007
14, Steven Gerrard,7,2006/2007
15, Salomon Kalou,7,2006/2007
16, Leroy Lita,7,2006/2007
17, Shabani Nonda,7,2006/2007
18, Ole Gunnar Solskjaer,7,2006/2007
19, Carlos Tevez,7,2006/2007
0, Joey Barton,6,2006/2007
1, Hameur Bouazza,6,2006/2007
2, Henri Camara,6,2006/2007
3, Jermaine Jenas,6,2006/2007
4, Benjani,6,2006/2007
5, Morten Gamst Pedersen,6,2006/2007
6, Paul Scholes,6,2006/2007
7, Michael Ballack,5,2006/2007
8, Carlos Bocanegra,5,2006/2007
9, Tim Cahill,5,2006/2007
10, Matt Derbyshire,5,2006/2007
11, El Hadji Diouf,5,2006/2007
12, Kieron Dyer,5,2006/2007
13, Park Ji-Sung,5,2006/2007
14, Jon Stead,5,2006/2007
15, Ashley Young,5,2006/2007
16, Xabi Alonso,4,2006/2007
17, Juan Pablo Ángel,4,2006/2007
18, David Bentley,4,2006/2007
19, Ivan Campo,4,2006/2007
0, Ryan Giggs,4,2006/2007
1, Heidar Helguson,4,2006/2007
2, Stephen Hunt,4,2006/2007
3, Phil Jagielka,4,2006/2007
4, Marlon King,4,2006/2007
5, Lee McCulloch,4,2006/2007
6, Luke Moore,4,2006/2007
7, John O'Shea,4,2006/2007
8, Jason Roberts,4,2006/2007
9, Georgios Samaras,4,2006/2007
10, Seol Ki-Hyeon,4,2006/2007
11, Andriy Shevchenko,4,2006/2007
12, Steve Sidwell,4,2006/2007
13, James Vaughan,4,2006/2007
14, Darren Ambrose,3,2006/2007
15, Shola Ameobi,3,2006/2007
16, Victor Anichebe,3,2006/2007
17, Leighton Baines,3,2006/2007
18, DaMarcus Beasley,3,2006/2007
19, Yossi Benayoun,3,2006/2007
0, John Carew,3,2006/2007
1, Michael Carrick,3,2006/2007
2, Andrew Cole,3,2006/2007
3, Bernardo Corradi,3,2006/2007
4, Talal El Karkouri,3,2006/2007
5, Mathieu Flamini,3,2006/2007
6, Darren Fletcher,3,2006/2007
7, Robbie Fowler,3,2006/2007
8, Damien Francis,3,2006/2007
9, William Gallas,3,2006/2007
10, Luis García,3,2006/2007
11, Brynjar Gunnarsson,3,2006/2007
12, Marlon Harewood,3,2006/2007
13, James Harper,3,2006/2007
14, Darius Henderson,3,2006/2007
15, Aaron Lennon,3,2006/2007
16, James Milner,3,2006/2007
17, Emile Mpenza,3,2006/2007
18, Christian Nade,3,2006/2007
19, Kevin Nolan,3,2006/2007
0, Leon Osman,3,2006/2007
1, Scott Parker,3,2006/2007
2, Julio Baptista,3,2006/2007
3, Tomas Rosicky,3,2006/2007
4, Paul Scharner,3,2006/2007
5, Antoine Sibierski,3,2006/2007
6, Ricardo Carvalho,3,2006/2007
7, Jerome Thomas,3,2006/2007
8, Kolo Touré,3,2006/2007
9, Darius Vassell,3,2006/2007
10, Nemanja Vidic,3,2006/2007
11, Danny Webber,3,2006/2007
12, Daniel Agger,2,2006/2007
13, Julio Arca,2,2006/2007
14, James Beattie,2,2006/2007
15, Emre,2,2006/2007
16, Patrik Berger,2,2006/2007
17, Jimmy Bullard,2,2006/2007
18, Carlton Cole,2,2006/2007
19, Pedro Mendes,2,2006/2007
0, Simon Davies,2,2006/2007
1, Jay DeMerit,2,2006/2007
2, Sylvain Distin,2,2006/2007
3, Stewart Downing,2,2006/2007
4, Michael Essien,2,2006/2007
5, Cesc Fàbregas,2,2006/2007
6, Abdoulaye Faye,2,2006/2007
7, Manuel Fernandes,2,2006/2007
8, Caleb Folan,2,2006/2007
9, Craig Gardner,2,2006/2007
10, Keith Gillespie,2,2006/2007
11, Mark González,2,2006/2007
12, Jimmy Floyd Hasselbaink,2,2006/2007
13, Alyaksandr Hleb,2,2006/2007
14, Sami Hyypiä,2,2006/2007
15, Ivar Ingimarsson,2,2006/2007
16, Claus Jensen,2,2006/2007
17, Dave Kitson,2,2006/2007
18, Zat Knight,2,2006/2007
19, Niko Kranjcar,2,2006/2007
0, Denny Landzaat,2,2006/2007
1, Joleon Lescott,2,2006/2007
2, Shane Long,2,2006/2007
3, Lomana Lua Lua,2,2006/2007
4, Steed Malbranque,2,2006/2007
5, James McFadden,2,2006/2007
6, Vincenzo Montella,2,2006/2007
7, James Morrison,2,2006/2007
8, Hayden Mullins,2,2006/2007
9, Mark Noble,2,2006/2007
10, Noé Pamarot,2,2006/2007
11, Stiliyan Petrov,2,2006/2007
12, Emanuel Pogatetz,2,2006/2007
13, Linvoy Primus,2,2006/2007
14, Tamás Priskin,2,2006/2007
15, Stephen Quinn,2,2006/2007
16, Tomasz Radzinski,2,2006/2007
17, Andy Reid,2,2006/2007
18, Arjen Robben,2,2006/2007
19, Fábio Rochemback,2,2006/2007
0, Christopher Samba,2,2006/2007
1, Teddy Sheringham,2,2006/2007
2, Nolberto Solano,2,2006/2007
3, Alan Stubbs,2,2006/2007
4, Teemu Tainio,2,2006/2007
5, Steven Taylor,2,2006/2007
6, Andranik Teymourian,2,2006/2007
7, Svetoslav Todorov,2,2006/2007
8, Michael Tonge,2,2006/2007
9, Moritz Volz,2,2006/2007
10, Shaun Wright-Phillips,2,2006/2007
11, Joseph Yobo,2,2006/2007
12, Abou Diaby,1,2006/2007
13, Álvaro Arbeloa,1,2006/2007
14, Milan Baros,1,2006/2007
15, Marcus Bent,1,2006/2007
16, Kepa,1,2006/2007
17, Luis Boa Morte,1,2006/2007
18, George Boateng,1,2006/2007
19, Nicky Butt,1,2006/2007
0, Sol Campbell,1,2006/2007
1, Jamie Carragher,1,2006/2007
2, Lee Carsley,1,2006/2007
3, Lee Cattermole,1,2006/2007
4, Pascal Chimbonda,1,2006/2007
5, Philippe Christanval,1,2006/2007
6, Malcolm Christie,1,2006/2007
7, David Cotterill,1,2006/2007
8, Calum Davenport,1,2006/2007
9, Michael Dawson,1,2006/2007
10, Ulises de la Cruz,1,2006/2007
11, Clint Dempsey,1,2006/2007
12, Damien Duff,1,2006/2007
13, Richard Dunne,1,2006/2007
14, Chris Eagles,1,2006/2007
15, David Edgar,1,2006/2007
16, Hossam Ghaly,1,2006/2007
17, Patrice Evra,1,2006/2007
18, Amdy Faye,1,2006/2007
19, Rio Ferdinand,1,2006/2007
0, Paul Gallagher,1,2006/2007
1, Matt Holland,1,2006/2007
2, Justin Hoyte,1,2006/2007
3, Tom Huddlestone,1,2006/2007
4, Bryan Hughes,1,2006/2007
5, Paul Huntington,1,2006/2007
6, Robert Huth,1,2006/2007
7, Stephen Ireland,1,2006/2007
8, Matt Jackson,1,2006/2007
9, Collins John,1,2006/2007
10, Kazim,1,2006/2007
11, Harry Kewell,1,2006/2007
12, Kevin Kilbane,1,2006/2007
13, Henrik Larsson,1,2006/2007
14, Massimo Maccarone,1,2006/2007
15, Gavin Mahon,1,2006/2007
16, Claude Makelele,1,2006/2007
17, Shaun Maloney,1,2006/2007
18, Gavin McCann,1,2006/2007
19, Olof Mellberg,1,2006/2007
0, Lubomir Michalik,1,2006/2007
1, Mido,1,2006/2007
2, Chris Morgan,1,2006/2007
3, Danny Murphy,1,2006/2007
4, Arnold Mvuemba,1,2006/2007
5, Gary Naysmith,1,2006/2007
6, Phil Neville,1,2006/2007
7, Geremi,1,2006/2007
8, Gary O'Neil,1,2006/2007
9, John Oster,1,2006/2007
10, Ian Pearce,1,2006/2007
11, Henrik Pedersen,1,2006/2007
12, Jermaine Pennant,1,2006/2007
13, Franck Queudrue,1,2006/2007
14, Nigel Reo-Coker,1,2006/2007
15, Micah Richards,1,2006/2007
16, Kieran Richardson,1,2006/2007
17, Liam Ridgewell,1,2006/2007
18, John Arne Riise,1,2006/2007
19, Douglas Rinaldi,1,2006/2007
0, Paul Robinson,1,2006/2007
1, Danny Shittu,1,2006/2007
2, Nicky Shorey,1,2006/2007
3, Mikaël Silvestre,1,2006/2007
4, Tommy Smith,1,2006/2007
5, Ibrahima Sonko,1,2006/2007
6, Paul Stalteri,1,2006/2007
7, Chris Sutton,1,2006/2007
8, Ryan Taylor,1,2006/2007
9, John Terry,1,2006/2007
10, Hatem Trabelsi,1,2006/2007
11, Kerimoglou Tugay,1,2006/2007
12, David Unsworth,1,2006/2007
13, Antonio Valencia,1,2006/2007
14, Stephen Warnock,1,2006/2007
15, David Wheater,1,2006/2007
16, Abel Xavier,1,2006/2007
17, Luke Young,1,2006/2007
18, Zheng Zhi,1,2006/2007
